"LARVALCATCHPER10M2" "year" "lat" "lon" "doy"
"188" 137.7541 1995 56.54117 -163.02901 130
"189" 0 1995 55.0105 -167.0385 131
"191" 444.11212 1995 54.86217 -165.66451 112
"192" 13.96896 1995 54.79917 -165.8728 112
"195" 27.77566 1999 54.08467 -167.6068 136
"196" 78.11253 1997 55.34433 -168.2522 108
"197" 1585.15637 1995 54.98083 -168.47301 110
"198" 583.01156 1995 54.3705 -165.26849 112
"199" 506.33436 1988 54.88333 -169.3833 107
"200" 0 1988 55.495 -166.73331 108
"201" 70.75153 1991 57.26667 -168.55 116
"203" 5.04421 2012 54.34533 -166.4262 124
"204" 0 2012 54.68267 -166.2735 124
"205" 0 2012 55.58617 -166.108 125
"206" 0 2012 56.93283 -163.8393 128
"209" 0 2012 56.76717 -164.3328 128
"215" 0 1993 54.36667 -166.40331 117
"236" 739.32489 2014 58.2695 -172.2102 156
"237" 392.45153 2014 57.359 -161.2687 147
"240" 10.82398 2014 55.2845 -164.3242 143
"241" 16.80359 2014 56.9603 -164.4597 147
"246" 18.47923 2006 57.17933 -164.24899 107
"247" 0 2006 57.7685 -169.0455 128
"254" 692.5854 2003 56.341 -161.81467 141
"259" 101.52345 2003 55.27333 -165.29834 143
"260" 18.53587 2010 56.32033 -169.98167 177
"261" 3.72121 2010 55.98183 -167.61983 177
"262" 0 2010 57.99183 -161.532 162
"267" 0 2008 57.3 -160.43333 157
"268" 0 2009 57.33633 -160.92867 156
"269" 0 2009 55.65367 -166.99783 168
"276" 0 2007 57.85567 -168.931 104
"278" 0 2007 57.3285 -166.31567 130
"291" 23.66538 2006 57.349 -164.24899 107
"292" 26.14767 2006 57.4985 -166.98767 174
"293" 0 2006 56.17017 -168.99333 129
"297" 1288.81132 2005 57.62733 -168.817 144
"299" 0 2006 57.86967 -169.93716 111
"322" 8.81225 2010 54.32683 -165.41066 128
"323" 0 2010 54.46183 -165.01616 128
"329" 0 2009 55.33967 -168.25383 117
"332" 0 2009 56.774 -164.32401 120
"336" 487.52147 2010 56.96983 -169.91051 134
"337" 203.64976 2010 54.471 -166.03366 127
"338" 0 2010 56.17484 -170.58833 135
"341" 0 2010 55.968 -169.424 136
"345" 187.93525 2006 55.00983 -167.03967 132
"348" 0 2009 57.24 -161.677 132
"351" 14.97646 1997 54.58583 -166.12933 130
"352" 814.39633 1997 54.422 -165.15134 131
"353" 27.73647 1997 55.4345 -168.06334 132
"354" 21.45854 1997 55.47283 -169.32333 132
"355" 1157.75977 1995 54.9255 -165.47231 133
"360" 0 1995 56.96117 -164.4492 127
"361" 76.71866 1995 55.71133 -165.72701 129
"362" 29.44452 1995 56.40467 -164.4055 130
"363" 0 1995 56.74367 -164.23669 130
"365" 35.8515 1995 55.1305 -166.6588 131
"366" 197.51281 1995 55.487 -165.51379 132
"371" 7.53857 2007 56.3095 -169.27133 131
"372" 8.80777 2007 56.35717 -172.69034 134
"374" 4266.46226 1997 56.20183 -166.504 126
"375" 5186.26139 1994 54.88333 -165.0533 117
"376" 8048.07168 1994 54.77 -165.01331 117
"377" 6.57334 1994 53.63333 -167.30499 119
"379" 8.92521 2007 54.32784 -167.37083 128
"380" 61.29027 2007 55.53133 -168.99733 128
"381" 22.10761 2007 56.92933 -171.81233 134
"382" 537.13292 1994 54.67667 -164.9183 117
"383" 410.94046 1993 55.02 -167.0433 107
"384" 1264.24058 1993 54.15 -166.1817 107
"385" 4672.0347 1993 55.2 -168.21831 108
"386" 2039.27937 1993 54.555 -167.5583 108
"389" 246.2486 1993 53.615 -168.6217 110
"390" 20.72019 1993 53.84 -168.845 111
"391" 42.82213 1995 54.4705 -166.04671 113
"392" 453.22318 1995 54.359 -165.9415 113
"395" 551.32514 2007 56.62634 -170.06683 132
"397" 0 1997 53.59933 -169.056 124
"399" 0 1999 54.1735 -167.1927 140
"401" 112.46496 1994 54.27833 -165.7567 118
"402" 2591.44084 1994 55.095 -167.63831 108
"403" 648.83757 1994 53.955 -168.4767 110
"405" 15.72408 2007 55.912 -172.26134 136
"409" 7.39626 2005 54.47033 -166.0385 139
"412" 122.71484 1997 55.33867 -168.2325 125
"413" 0 1995 56.185 -164.18781 119
"414" 432.88267 1995 54.32683 -167.3752 108
"420" 41.98912 1995 55.32867 -167.828 109
"421" 220.73073 1995 54.66033 -168.15151 107
"431" 6.63494 2005 54.78483 -166.83083 140
"432" 489.75561 2005 56.24133 -161.21384 131
"445" 184.95857 1995 54.71733 -164.7695 112
"446" 70.55169 1997 56.21017 -166.502 110
"447" 6.12968 1997 57.85133 -168.87219 113
"450" 1283.78848 2005 57.25683 -160.66766 133
"459" 1385.80002 1993 54.645 -168.13831 113
"474" 0 1999 55.94783 -164.96671 105
"475" 0 1999 55.70317 -165.7343 106
"476" 0 1999 55.58733 -166.1058 106
"477" 0 1999 55.8635 -163.3745 107
"486" 747.15023 1988 54.15 -168.1167 107
"487" 514.30769 2012 57.07067 -170.5052 150
"488" 463.16767 2012 57.52934 -169.9902 150
"489" 30.45097 2012 56.092 -169.039 148
"491" 19.36808 2014 54.9298 -165.4795 128
"497" 35.34069 1988 56.25 -168 113
"498" 0 1991 55.58333 -163.6167 104
"499" 219.48773 1991 55.06667 -166.0833 107
"500" 174.96331 2012 56.1465 -166.1552 137
"501" 540.67859 2014 56.6658 -163.869 129
"502" 3.90977 2012 56.46733 -166.9625 137
"504" 22.58243 2006 56.31717 -162.80667 136
"505" 15.42526 2006 56.121 -161.58633 137
"506" 492.81399 2002 55.06633 -164.11633 134
"507" 0 2007 57.89367 -163.02251 114
"510" 0 2012 58.20667 -169.702 151
"511" 0 2012 55.36934 -165.8888 138
"512" 1113.2579 2012 55.74883 -163.7617 140
"522" 0 2012 56.82767 -165.8208 145
"523" 0 2012 55.049 -165.0897 138
"524" 120.57746 2014 54.0738 -166.6177 136
"525" 1192.66301 2014 57.7472 -170.2212 155
"526" 29.77222 2014 54.1752 -166.2305 136
"538" 5.31025 2008 55.0945 -164.15666 139
"539" 0 2009 55.429 -162.94983 133
"541" 4173.12015 2014 57.3475 -167.8315 153
"542" 99.68351 2014 56.1457 -166.1518 148
"547" 0 2009 54.41317 -165.15216 136
"548" 0 2008 54.94683 -164.54834 139
"549" 510.26745 2008 56.4235 -163.41383 136
"550" 0 2009 55.745 -163.7655 134
"551" 6.2307 2014 56.3488 -167.3325 149
"552" 8.66568 2014 56.3267 -168.3065 149
"553" 33.83194 2009 55.21233 -168.203 128
"554" 0 2009 56.69667 -160.629 131
"555" 747.69514 2014 56.7853 -167.7725 150
"556" 0 2006 58.16333 -171.67084 114
"557" 0 2006 58.09933 -171.76666 114
"560" 0 2006 53.8775 -167.92934 129
"564" 220.51535 2006 56.8295 -168.52966 129
"566" 21.79126 2008 54.568 -166.61833 141
"568" 0 2009 55.60966 -165.132 135
"576" 0 1993 54.09667 -166.7733 118
"577" 0 1993 54.06167 -167.6183 119
"581" 79.12659 2008 55.50683 -164.53633 139
"582" 41.7389 2009 56.20667 -163.19783 132
"585" 1.82563 2003 56.08484 -160.9615 140
"586" 6.84658 2003 54.349 -166.41901 138
"598" 513.22573 2003 56.82067 -160.21933 140
"599" 758.61565 2003 57.0415 -160.4245 141
"601" 45.2385 2003 54.24383 -165.82634 138
"603" 290.6649 2003 54.37517 -165.28267 138
"604" 246.17527 2003 54.82433 -164.879 139
"622" 0 2009 56.80033 -161.24066 132
"623" 0 2009 55.43033 -168.41066 128
"626" 446.2411 1994 54.17667 -166.2883 119
"631" 71.62267 2003 55.04833 -165.10167 143
"633" 17.48332 2003 54.32883 -165.40617 138
"634" 0 2010 57.0005 -161.55949 161
"638" 17.10342 2008 55.79833 -163.21834 154
"647" 28.90975 2007 56.19 -169.63451 131
"648" 39.04848 2007 56.13283 -172.47017 134
"649" 11159.93105 1994 54.77167 -165.0117 117
"650" 0 1994 53.7 -167.36 119
"655" 0 2008 55.62833 -162.98833 161
"656" 0 2008 57.41667 -163.36667 163
"657" 0 2009 56.374 -165.28799 164
"663" 14.87063 2010 55.38533 -164.92149 129
"664" 99.2766 2007 56.28867 -170.21967 132
"668" 442.6218 1994 54.63333 -165.4633 118
"669" 1449.70369 1994 54.63333 -165.49001 118
"671" 345.36227 2014 56.419 -163.4095 145
"672" 655.12122 2014 56.1025 -162.5938 145
"674" 0 2010 56.14267 -166.11934 121
"675" 567.49496 2010 55.642 -163.16167 131
"679" 445.11463 2007 56.98517 -168.95033 132
"680" 129.75182 2007 57.206 -169.17383 133
"681" 68.65751 1994 54.52333 -165.9967 118
"682" 316.663 1994 54.815 -169.3183 107
"684" 7.95877 2007 56.99533 -165.38733 103
"688" 323.40135 1994 54.69833 -166.2533 109
"690" 1506.08432 2007 56.9715 -169.91834 133
"691" 1170.76273 1994 54.94167 -168.11 111
"692" 0 2012 56.578 -161.0232 143
"693" 0 2012 57.14083 -161.0277 143
"697" 0 2007 57.49683 -167.35451 103
"698" 0 2007 58.61383 -170.26866 105
"699" 0 2009 57.019 -164.21567 120
"713" 474.69835 2002 54.926 -165.48117 135
"717" 322.98865 2014 58.2865 -171.2538 156
"718" 68.08077 2014 55.8452 -164.3587 144
"721" 25.7942 2006 55.07333 -164.11116 135
"725" 0 2006 55.7275 -164.74834 135
"726" 91.80567 2006 55.411 -163.91617 135
"728" 285.74808 2014 56.3993 -164.413 144
"731" 0 2010 56.94233 -163.82983 132
"733" 65.34807 2010 57.07 -170.49966 134
"736" 0 2008 57.653 -169.01534 129
"738" 58.04433 2014 56.9857 -163.4413 147
"739" 4.22914 2006 58.57283 -171.52367 118
"741" 0 2010 55.669 -167.66716 137
"742" 70.82921 2010 56.29217 -170.21899 135
"743" 17.78013 2010 56.087 -169.05234 136
"744" 14.45095 2010 55.693 -168.24234 181
"747" 52645.49868 2002 55.8885 -162.37666 135
"748" 8985.105 2002 55.76817 -162.76433 135
"750" 0 2012 54.37217 -165.2665 119
"751" 23.41748 2014 55.5077 -164.5485 143
"752" 481.60611 2014 55.4268 -162.9488 145
"757" 32.97396 2006 56.99917 -169.002 174
"758" 1254.40726 2006 56.91667 -170.00034 175
"759" 41.07237 2006 56.39717 -169.98734 175
"760" 29.94692 2006 56.499 -166.998 175
"761" 0 2006 56.00067 -167.00734 175
"762" 34.33749 2002 54.582 -165.64366 133
"764" 0 2002 54.55383 -167.59784 140
"765" 0 2012 54.93983 -165.4812 120
"766" 0 2012 54.81333 -165.861 120
"767" 0 2012 54.75233 -166.0682 120
"768" 3.74854 2012 54.69683 -166.2827 120
"773" 0 2006 56.089 -163.57651 136
"774" 0 2006 55.86517 -163.35983 136
"775" 0 2005 58.943 -168.0215 137
"776" 100.21748 2006 56.44133 -162.41066 137
"779" 6.41507 2007 56.83383 -164.31 102
"783" 0 2007 54.11017 -167.16966 138
"784" 5.89243 2007 57.3325 -166.34 103
"787" 0 2007 55.85433 -166.90016 131
"789" 72.7105 2007 55.17617 -170.10783 129
"790" 11.4156 1994 55.51667 -168.05499 107
"791" 91.63936 1994 54.28333 -165.75 118
"794" 4.37698 2010 55.647 -168.62567 137
"795" 10.54788 2010 55.22617 -167.24434 137
"796" 0 2010 54.68983 -166.24817 127
"797" 0 2010 54.80433 -165.8605 127
"806" 0 2005 55.00983 -167.02417 140
"813" 0 2009 57.9255 -169.31667 122
"816" 295.32036 2010 57.292 -170.71533 134
"820" 5180.17163 2005 57.018 -161.44566 134
"821" 2170.0817 2005 56.89817 -161.84934 134
"824" 266.9053 2010 56.7495 -169.69783 135
"830" 1527.62568 2012 56.75 -169.701 150
"831" 176.77173 2012 57.08983 -169.5437 150
"835" 104.42455 2005 55.50467 -164.7455 136
"837" 0 2006 57.1365 -170.66116 118
"838" 206.12389 2006 55.16933 -164.72617 135
"840" 1533.30606 2002 55.40434 -163.93666 135
"841" 76.29787 2002 55.01117 -167.03033 140
"843" 344.89309 2005 58.018 -169.1035 136
"844" 104.46343 2002 54.01017 -166.57184 133
"845" 1034.82852 2002 56.28433 -164.79233 138
"855" 0 2012 55.145 -165.6808 138
"858" 33.10954 2006 57.50067 -165.99916 173
"860" 28.45662 2006 54.81017 -165.86501 133
"861" 313.3792 2006 55.029 -166.07167 133
"862" 0 2006 55.73983 -163.75967 136
"863" 2195.44329 2012 57.04833 -171.4518 152
"867" 0 2006 57.51534 -164.25301 107
"869" 362.40479 2005 56.87933 -164.05234 147
"870" 70.18603 2002 54.11317 -167.17233 141
"871" 118.84803 2002 54.71167 -165.276 134
"873" 146.1907 2006 54.7205 -165.25501 134
"874" 1610.91444 2002 55.186 -163.72934 134
"875" 0 2012 56.598 -160.0102 144
"876" 4.76814 2014 57.4325 -166.8135 130
"877" 0 2012 55.16567 -164.7038 138
"878" 6950.21375 2014 57.5022 -167.9818 130
"879" 37.17559 2014 54.355 -165.9278 127
"881" 6959.73638 2012 56.18733 -164.1905 140
"883" 0 2006 58.779 -169.64433 111
"884" 0 2006 57.935 -168.47333 111
"888" 1906.11308 2005 57.787 -169.37666 136
"889" 93.12266 2006 54.351 -166.41817 132
"894" 255.02097 2012 55.52617 -163.546 140
"895" 28.37379 2012 55.42484 -162.9568 140
"899" 695.4537 2008 56.324 -162.80716 136
"904" 0 2009 56.44333 -162.41617 132
"905" 102.09194 2012 55.70717 -165.7223 138
"906" 29.81892 2012 57.647 -169.6198 147
"907" 1357.26211 2014 57.8688 -169.8425 155
"908" 6843.04637 2014 57.4662 -167.4547 153
"909" 0 2014 56.6118 -171.0128 153
"911" 94.85466 2009 54.86934 -168.35201 128
"913" 0 2009 54.9295 -165.4895 136
"914" 0 2009 55.9655 -163.98016 134
"915" 519.86743 2014 56.2647 -165.769 148
"916" 16.97564 2014 55.4685 -166.4862 141
"918" 122.54651 2003 56.48133 -160.40849 140
"919" 197.20087 2003 56.5745 -162.02983 141
"921" 36.94668 2003 54.94383 -164.51033 139
"922" 20.2839 2003 55.06483 -164.12517 139
"932" 5.08576 2009 56.986 -168.966 130
"933" 8.15129 2009 55.3255 -167.8325 137
"934" 0 2009 55.404 -163.93817 134
"935" 5.1897 2009 55.54733 -168.04767 137
"936" 5.13618 2014 55.6843 -166.6997 142
"945" 0 2008 55.1855 -163.72833 139
"946" 4817.42567 2014 57.531 -169.9775 154
"947" 6278.38674 2014 57.2075 -169.1728 153
"950" 0 2008 55.3 -165.14667 167
"957" 141.41697 1994 54.1 -166.235 118
"958" 7.90517 2007 55.47533 -171.83867 136
"959" 4527.46724 1994 54.76833 -165 117
"960" 0 2010 56.8985 -164.03867 121
"963" 220.04656 2003 56.00117 -161.99217 140
"964" 20.10972 2003 56.11867 -161.59934 140
"965" 0 2003 56.13917 -160.58234 140
"967" 559.06867 1993 54.68833 -168.0517 112
"969" 321.18933 1999 54.36483 -165.925 139
"970" 0 1995 56.38633 -165.3898 118
"971" 0 1995 56.62867 -164.6138 119
"980" 0 2003 55.54267 -162.571 139
"987" 7.31821 1995 55.67 -167.6642 109
"988" 1992.16536 1995 54.873 -168.3705 107
"989" 19.09235 1995 54.78867 -166.827 111
"994" 0 2003 54.6975 -166.26199 144
"1003" 14.00962 1995 55.047 -165.09 112
"1006" 82.04027 2010 55.35733 -165.78883 169
"1007" 0 2010 56.77083 -164.35584 118
"1017" 69502.61297 1988 55.28 -168.4483 91
"1018" 44546.34741 1988 54.30833 -168.0183 92
"1019" 9703.94769 1988 54.61333 -168.78 94
"1024" 1976.88915 1993 54.485 -166.02499 106
"1025" 5660.95191 1993 54.02167 -166.565 115
"1026" 0 1999 56.0635 -164.5725 105
"1027" 15150.70313 1988 55.58333 -163 102
"1029" 30.11453 2007 55.277 -168.54016 131
"1030" 0 2007 57.526 -168.618 104
"1031" 0 2007 58.29517 -170.12784 104
"1035" 0 1991 55.91667 -168.6667 111
"1036" 0 1991 55.95 -169.98331 113
"1046" 176.54381 1988 55.66667 -164.8 105
"1047" 23.76381 1988 55.88833 -168.71671 113
"1053" 35.9493 2012 54.09633 -168.13 121
"1054" 6.65693 2012 54.75117 -168.7452 121
"1056" 100.34704 2014 55.1843 -163.7265 144
"1057" 598.39341 2014 56.9183 -160.8333 147
"1058" 676.21912 2014 57.1417 -161.064 147
"1060" 0 2012 54.81067 -165.8692 124
"1061" 133.92094 2014 55.8233 -165.3423 143
"1062" 3011.00513 2014 55.9965 -161.9927 145
"1063" 325.04239 2014 56.2202 -162.2053 145
"1067" 709.30942 2014 57.8295 -171.7613 155
"1068" 31.09052 2014 55.2677 -165.3063 142
"1081" 120.24052 2014 56.8618 -163.844 147
"1083" 187.82554 2014 58.727 -171.7083 157
"1085" 1562.47688 2014 56.5835 -161.0177 146
"1097" 0 2012 54.87483 -165.6755 120
"1104" 11.68331 1995 56.70617 -166.1973 126
"1108" 109.89803 1995 56.066 -164.576 130
"1114" 4937.4422 1993 54.27833 -166.64169 119
"1115" 2081.06615 1997 56.0545 -166.33116 126
"1116" 440.36399 1993 54.01167 -166.5583 120
"1117" 77.56914 1997 54.467 -166.0443 115
"1118" 128.26985 1995 54.9225 -165.4717 112
"1119" 94.5547 1995 54.58517 -165.6472 113
"1123" 5.01065 2008 54.80867 -166.82716 141
"1124" 0 2008 54.48267 -166.89517 141
"1125" 0 2009 54.952 -164.50133 135
"1126" 40.45818 2009 57.41083 -170.35234 129
"1128" 41.67147 2009 55.98317 -162.98917 132
"1129" 11.93244 2014 54.3085 -166.3492 136
"1130" 109.31722 2014 56.3665 -166.366 148
"1138" 22.25127 2008 55.3865 -164.92534 140
"1139" 14.63002 2014 56.009 -167.498 149
"1140" 552.07009 2014 56.6863 -167.1778 149
"1155" 0 2009 55.62533 -164.15117 134
"1156" 5.3632 2014 58.9478 -170.324 131
"1157" 922.95424 2014 56.409 -169.8478 151
"1169" 3857.36071 2014 56.9707 -169.914 153
"1175" 0 2010 55.16567 -164.70599 129
"1176" 194.48631 1994 54.35667 -166.4467 119
"1178" 81.70057 2007 56.37167 -171.74884 133
"1179" 6.5788 2007 56.252 -172.11934 133
"1182" 5529.75266 1993 54.22833 -166.77 119
"1183" 908.12933 1993 54.16167 -166.33501 120
"1184" 7076.30998 1993 54.15167 -166.57001 120
"1185" 5573.49513 1993 54.12833 -167.1333 105
"1188" 613.62433 2010 56.06883 -164.56934 130
"1191" 8.10357 2007 55.426 -168.41316 137
"1193" 65.35267 2007 55.50917 -169.94116 129
"1200" 0 2007 56.693 -172.54617 135
"1201" 28.10714 1994 53.54833 -167.61169 120
"1203" 98.84796 1994 54.35 -165.83 118
"1210" 5.25713 2010 55.42717 -168.41267 137
"1211" 314.45162 1994 54.43 -167.0183 109
"1212" 94.62654 2007 56.73117 -170.64999 133
"1213" 1591.95559 1994 54.34833 -166.4117 105
"1217" 256.0633 1997 55.383 -168.16634 125
"1228" 116.14372 2002 55.05167 -165.09584 135
"1251" 23.50025 2002 53.65917 -167.70667 141
"1254" 13.08597 2006 53.63183 -167.32066 130
"1256" 1022.571 2005 56.81783 -160.22833 134
"1257" 35.0516 2010 55.87783 -162.38001 131
"1258" 0 2010 57.019 -164.21167 132
"1259" 29.34653 2010 57.191 -170.11766 134
"1260" 0 2008 58.64233 -168.4805 176
"1261" 14.76351 2010 56.606 -171.04067 134
"1268" 128.71645 2010 56.50233 -169.57283 135
"1269" 0 2010 56.06983 -170.00583 135
"1270" 0 2010 55.87183 -168.84383 136
"1271" 0 2009 54.9655 -168.75067 117
"1279" 462.64589 2005 55.17916 -163.73584 131
"1280" 102.39495 2005 54.69033 -166.24249 139
"1282" 0 2006 56.00617 -169.9615 176
"1284" 153.02339 2006 55.38583 -164.93601 134
"1285" 0 2006 54.95083 -164.50783 135
"1288" 2312.33437 2012 57.26883 -171.672 152
"1289" 325.45161 2012 56.42183 -163.4155 141
"1290" 71.55928 2014 57.014 -164.2117 129
"1293" 714.52643 2012 57.17167 -171.0918 151
"1294" 1907.77526 2012 57.3915 -171.315 151
"1299" 0 2009 55.35417 -166.86333 137
"1300" 99.11685 2012 56.54283 -163.0243 142
"1301" 0 2012 57.23983 -161.669 144
"1303" 0 2006 58.26333 -168.89549 110
"1305" 32.63295 2002 54.39867 -165.22099 134
"1306" 63.07392 2002 54.4695 -166.03183 133
"1307" 144.8042 2002 55.84667 -164.35767 139
"1308" 201.4445 2006 56.21833 -162.194 137
"1309" 0 2012 57.1025 -163.0677 144
"1310" 0 2012 56.727 -165.2222 145
"1311" 1491.45411 2012 57.832 -171.7648 152
"1312" 3252.19576 2012 57.48833 -171.8967 152
"1317" 7139.96297 2006 57.31816 -168.16901 129
"1318" 923.53128 2002 55.14567 -165.69167 136
"1319" 247.91883 2002 54.8305 -164.88316 134
"1320" 950.71623 2002 55.74967 -163.76334 137
"1342" 0 2006 58.3645 -171.96617 118
"1344" 261.35532 2003 55.88683 -162.38483 139
"1346" 1389.82288 2003 56.97183 -160.834 141
"1347" 259.76205 2003 55.98 -162.98666 143
"1348" 4.61005 2006 56.49567 -168.993 175
"1349" 40.60884 2006 58 -165.9995 173
"1350" 10.59799 2006 57.494 -167.99167 174
"1351" 0 2006 57.97133 -170.40134 113
"1357" 0 2007 57.37 -160.91533 165
"1358" 38.30665 2007 56.69733 -162.20717 167
"1366" 0 2006 58.358 -171.3855 114
"1373" 0 2008 57.7 -159.03334 156
"1374" 5.96713 2008 57.97167 -161.45334 159
"1375" 93.67973 2008 56.345 -164 162
"1376" 532.79107 2010 55.67317 -163.41383 157
"1379" 0 1995 56.59267 -164.62331 127
"1381" 34.75699 1995 55.82717 -165.3428 129
"1382" 361.68451 1995 56.64483 -163.6292 130
"1383" 193.95003 1995 55.9485 -164.95779 131
"1388" 0 2010 56.93933 -163.83501 118
"1391" 68.78372 1995 54.57883 -166.1355 112
"1398" 0 2007 57.44316 -169.77634 116
"1399" 655.92088 1995 55.87283 -168.8373 108
"1400" 13.78107 1995 56.12883 -167.12621 117
"1401" 77.91924 1995 55.9065 -166.9128 117
"1407" 17.6834 2007 58.51333 -174.38333 122
"1409" 6.05106 2007 56.84067 -164.11116 102
"1410" 62.25426 2007 56.16117 -166.13901 131
"1411" 44.79054 1995 56.065 -164.5737 118
"1415" 0 2007 56.17367 -166.12866 102
"1425" 418.69508 1995 55.0975 -168.5762 107
"1439" 51.76608 2014 56.3622 -160.8053 146
"1440" 776.71116 2014 58.3687 -172.792 157
"1441" 641.65895 2014 57.9675 -170.4382 155
"1442" 4.17541 2014 56.273 -171.176 158
"1443" 130.86721 2014 56.882 -162.8545 147
"1448" 673.95382 1997 56.68417 -170.2095 113
"1467" 2156.28343 2014 57.95 -171.3982 155
"1468" 41.60611 2014 58.745 -170.755 156
"1470" 0 2014 54.9532 -164.5 143
"1471" 2249.88373 2014 56.5627 -162.0235 146
"1474" 5.65144 2006 57.73717 -167.67133 129
"1475" 0 2006 58.61283 -171.7845 117
"1485" 139.09068 2014 55.942 -164.9672 143
"1486" 1004.63912 2014 55.7632 -162.7743 145
"1487" 1519.18023 2014 55.9842 -162.9845 145
"1490" 0 1999 56.04533 -165.5537 106
"1491" 8.02715 1999 55.2655 -165.3028 106
"1493" 0 1999 56.87433 -164.054 107
"1495" 0 1991 56.9 -170.73331 116
"1503" 83.6163 1988 56.36667 -162 103
"1504" 428.24629 1988 56.59167 -167.27831 113
"1511" 5.89227 2012 53.6585 -167.7212 121
"1512" 0 2012 57.022 -164.2222 129
"1515" 31.03084 2012 54.86883 -168.371 122
"1516" 5.13811 2012 54.33117 -167.3803 123
"1525" 3.8008 2012 54.36367 -165.442 124
"1526" 0 2012 54.70917 -165.2678 125
"1542" 0 2007 55.35833 -166.35249 176
"1543" 63.26117 2008 55.404 -168.16467 129
"1545" 0 2005 55.46467 -166.46516 140
"1551" 14.80384 2010 56.10067 -162.60083 131
"1555" 0 2008 57.01767 -164.21783 127
"1556" 2772.64352 2008 57.67833 -170.198 180
"1564" 74.25273 2012 56.907 -167.394 145
"1570" 48178.53387 2002 55.9835 -162.98233 137
"1571" 233.77017 2002 55.541 -162.56117 135
"1573" 45.19659 2012 56.3465 -167.3352 137
"1574" 257.36653 2012 56.46133 -161.4122 143
